feature,mean_abs_shap
feat_52,0.1450395889613348
feat_21,0.049589209840166217
feat_17,0.049301932257950806
feat_39,0.039976562185489325
feat_158,0.0274961443568076
feat_45,0.023327860264696895
feat_99,0.0231832920738294
feat_22,0.02124320810412557
feat_1,0.02006711249217447
feat_15,0.01829459566998008
feat_100,0.016031813141975604
feat_54,0.01515676944504177
feat_42,0.014528615623871621
feat_58,0.012078070591788555
feat_162,0.011016231568044743
feat_51,0.010829678195775464
feat_46,0.010538001602161838
feat_2,0.00918013653036191
feat_28,0.009000368333308422
feat_4,0.008985417288120308
feat_157,0.008682034889606609
feat_48,0.008300089175951554
feat_102,0.0074119857310961925
feat_0,0.00739020172647231
feat_83,0.0069674364084870676
feat_141,0.006719481413182988
feat_131,0.006359239115364629
feat_135,0.006048727470012499
feat_63,0.004452392216136753
feat_142,0.004447903194442827
feat_40,0.004364432834088816
feat_79,0.004281045764363301
feat_95,0.004239918624935705
feat_160,0.0040426352237800936
feat_138,0.0038692388567029205
feat_78,0.0038458007749567298
feat_126,0.00372604178944925
feat_153,0.003587919998448797
feat_24,0.003500160896463094
feat_137,0.0034124572784667365
feat_119,0.003140917371201579
feat_161,0.0031191405807561054
feat_67,0.003020788928250742
feat_101,0.0029182963136245624
feat_98,0.0027644289647341088
feat_88,0.0027343659629416937
feat_155,0.002670769143864982
feat_64,0.0026441723575294615
feat_9,0.0024536460173704908
feat_124,0.002267597483444363
feat_8,0.002046137009220591
feat_129,0.0020457305078776843
feat_10,0.0019477600662204558
feat_150,0.0018122814596825331
feat_18,0.001726285441598902
feat_80,0.0016943496572296446
feat_53,0.0016518554318130192
feat_118,0.0015931698801242243
feat_12,0.001592394955164471
feat_7,0.0015659404086188712
feat_27,0.0015522489259823598
feat_156,0.001536449503321298
feat_16,0.0014594480996455734
feat_147,0.0013322735076050926
feat_93,0.0013297872889649126
feat_113,0.001308104048363466
feat_91,0.0012588729528258478
feat_33,0.0012284096923998126
feat_60,0.0012181997236951057
feat_108,0.0011592773723528849
feat_107,0.0011393975112759423
feat_26,0.0011111310988100565
feat_120,0.00111029343370661
feat_59,0.0010441564783895286
feat_106,0.0010370103230570068
feat_76,0.0009763907569569204
feat_71,0.0008704548981939931
feat_66,0.0008697012931306702
feat_136,0.0008477414340048741
feat_49,0.0008076694291273604
feat_151,0.0007956653750658484
feat_89,0.0007908331244611082
feat_163,0.000770619885368408
feat_123,0.0007552561371771266
feat_133,0.000691917089480732
feat_34,0.0006871515000578413
feat_105,0.0006866716478509476
feat_47,0.0006717768731620324
feat_103,0.0006532345188342709
feat_130,0.000652264088844738
feat_65,0.000602798367893476
feat_56,0.0005330098646076925
feat_87,0.0004841318386086604
feat_57,0.00045848316117553134
feat_36,0.00044292133195425053
feat_132,0.0004027659456728207
feat_11,0.0003974187200915225
feat_125,0.00036894968737361086
feat_109,0.00036129484867994003
feat_32,0.000360284887287213
feat_144,0.0003483616220303263
feat_84,0.00033377168120889275
feat_31,0.00030122147181401907
feat_82,0.00029385311696231186
feat_75,0.0002836321971964092
feat_25,0.0002494312804387068
feat_5,0.0002433928492076
feat_94,0.0002280504165943376
feat_143,0.00021214491894467632
feat_81,0.00017451945885121862
feat_20,0.00015102596032107597
feat_127,0.00014786942490864043
feat_112,0.00013999992345301683
feat_44,0.00012110397687593856
feat_149,0.000110767866802948
feat_96,0.00010980444962034269
feat_41,0.00010616824391034687
feat_35,0.0
feat_29,0.0
feat_30,0.0
feat_23,0.0
feat_6,0.0
feat_14,0.0
feat_13,0.0
feat_19,0.0
feat_3,0.0
feat_50,0.0
feat_37,0.0
feat_38,0.0
feat_55,0.0
feat_62,0.0
feat_61,0.0
feat_68,0.0
feat_97,0.0
feat_86,0.0
feat_90,0.0
feat_92,0.0
feat_85,0.0
feat_74,0.0
feat_70,0.0
feat_77,0.0
feat_69,0.0
feat_72,0.0
feat_73,0.0
feat_43,0.0
feat_104,0.0
feat_110,0.0
feat_115,0.0
feat_116,0.0
feat_128,0.0
feat_117,0.0
feat_122,0.0
feat_121,0.0
feat_111,0.0
feat_114,0.0
feat_139,0.0
feat_134,0.0
feat_148,0.0
feat_146,0.0
feat_145,0.0
feat_140,0.0
feat_154,0.0
feat_152,0.0
feat_159,0.0
feat_164,0.0
